"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext","exists"
41,"Arsenic Independence","A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin",2006,1,4,"0.99",137,"17.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'arsenic':1 'berlin':19 'cow':9 'dentist':17 'documentari':5 'fanci':4 'find':15 'independ':2 'mad':8 'must':14 'woman':12",True
42,"Artist Coldblooded","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",2006,1,5,"2.99",170,"10.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16",True
44,"Attacks Hate","A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft",2006,1,5,"4.99",113,"21.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11",True
45,"Attraction Newton","A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan",2006,1,5,"4.99",83,"14.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14",True
49,"Badman Dawn","A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat",2006,1,6,"2.99",162,"22.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'badman':1 'boat':21 'compos':11 'dawn':2 'emot':4 'escap':14 'jet':20 'mad':16 'must':13 'panorama':5 'pioneer':8 'scientist':17",True
51,"Balloon Homeward","A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station",2006,1,5,"2.99",75,"10.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'balloon':1 'build':16 'cow':13 'first':22 'forens':8 'homeward':2 'insight':4 'mad':12,18 'man':23 'must':15 'panorama':5 'psychologist':9 'scientist':19 'space':24 'station':25",True
58,"Beach Heartbreakers","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia",2006,1,6,"2.99",122,"16.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8",True
62,"Bed Highball","A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House",2006,1,5,"2.99",106,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'abandon':19 'astound':4 'bed':1 'dog':11 'fun':20 'highbal':2 'hous':21 'lumberjack':8 'must':13 'panorama':5 'redeem':14 'woman':16",True
66,"Beneath Rush","A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station",2006,1,6,"0.99",53,"27.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'astound':4 'beneath':1 'discov':14 'first':19 'man':8,16,20 'monkey':11 'must':13 'panorama':5 'rush':2 'space':21 'station':22",True
69,"Beverly Outlaw","A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station",2006,1,3,"2.99",85,"21.99","R","2013-05-26 14:50:58.951","{Trailers}","'bever':1 'boat':11 'defeat':14 'documentari':5 'fanci':4 'first':19 'madman':16 'man':20 'must':13 'outlaw':2 'space':21 'station':22 'woman':8",True
70,"Bikini Borrowers","A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station",2006,1,7,"4.99",142,"26.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'astound':4 'astronaut':8 'bikini':1 'borrow':2 'cat':11 'discov':14 'drama':5 'first':19 'man':20 'must':13 'space':21 'station':22 'woman':16",True
74,"Birch Antitrust","A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon",2006,1,4,"4.99",162,"18.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'antitrust':2 'baloon':19 'birch':1 'dog':16 'fanci':4 'husband':8 'must':13 'outgun':14 'panorama':5 'pioneer':11",True
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,5,"4.99",61,"15.99","G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8",True
87,"Boondock Ballroom","A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico",2006,1,7,"0.99",76,"14.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ballroom':2 'boondock':1 'boy':11 'crocodil':8 'defeat':14 'fate':4 'gulf':19 'mexico':21 'monkey':16 'must':13 'panorama':5",True
91,"Bound Cheaper","A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon",2006,1,5,"0.99",98,"17.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'administr':9 'astronaut':12 'baloon':20 'bound':1 'challeng':15 'cheaper':2 'databas':8 'lumberjack':17 'must':14 'panorama':5 'thrill':4",True
99,"Bringing Hysterical","A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat",2006,1,7,"2.99",136,"14.99","PG","2013-05-26 14:50:58.951","{Trailers}","'boat':22 'bring':1 'fate':4 'find':16 'hyster':2 'jet':21 'must':15 'saga':5 'shark':9 'technic':12 'woman':18 'writer':13",True
102,"Bubble Grosse","A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon",2006,1,4,"4.99",60,"20.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'awe':5 'awe-inspir':4 'baloon':21 'bubbl':1 'confront':16 'crocodil':10 'girl':18 'gross':2 'inspir':6 'moos':13 'must':15 'panorama':7",True
103,"Bucket Brotherhood","A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory",2006,1,7,"4.99",133,"27.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'amaz':4 'baloon':19 'brotherhood':2 'bucket':1 'display':5 'factori':20 'girl':8 'lumberjack':16 'must':13 'succumb':14 'woman':11",True
111,"Caddyshack Jedi","A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia",2006,1,3,"0.99",52,"17.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'awe':5 'awe-inspir':4 'caddyshack':1 'epistl':7 'fight':16 'georgia':21 'inspir':6 'jedi':2 'madman':13 'must':15 'robot':18 'soviet':20 'woman':10",True
114,"Camelot Vacation","A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention",2006,1,3,"0.99",61,"26.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'battl':15 'camelot':1 'charact':5 'chef':18 'convent':22 'must':14 'mysql':21 'pastri':17 'studi':6 'touch':4 'vacat':2 'waitress':12 'woman':9",True
119,"Caper Motions","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention",2006,1,6,"0.99",176,"22.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'caper':1 'car':11 'convent':20 'fate':4 'moos':8 'motion':2 'must':13 'mysql':19 'pursu':14 'saga':5 'woman':16",True
123,"Casablanca Super","A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station",2006,1,6,"4.99",85,"22.99","G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'agent':18 'amaz':4 'casablanca':1 'crocodil':8 'first':21 'forens':11 'man':22 'must':14 'panorama':5 'psychologist':12 'pursu':15 'secret':17 'space':23 'station':24 'super':2",True
127,"Cat Coneheads","A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India",2006,1,5,"4.99",112,"14.99","G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'ancient':21 'boy':19 'cat':1 'conehead':2 'confront':17 'fast':5 'fast-pac':4 'girl':10 'india':22 'must':16 'pace':6 'panorama':7 'shark':14",True
128,"Catch Amistad","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria",2006,1,7,"0.99",183,"10.99","G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'amistad':2 'bore':4 'catch':1 'discov':14 'feminist':11 'lumberjack':8 'must':13 'nigeria':18 'reflect':5 'woman':16",True
144,"Chinatown Gladiator","A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India",2006,1,7,"4.99",61,"24.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'ancient':19 'brilliant':4 'butler':17 'chinatown':1 'escap':15 'gladiat':2 'india':20 'lumberjack':12 'must':14 'panorama':5 'technic':8 'writer':9",True
159,"Closer Bang","A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India",2006,1,5,"4.99",58,"12.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'ancient':18 'bang':2 'closer':1 'frisbe':8 'hunter':11 'india':19 'monkey':16 'must':13 'panorama':5 'unbeliev':4 'vanquish':14",True
165,"Coldblooded Darling","A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico",2006,1,7,"4.99",70,"27.99","G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'brilliant':4 'coldblood':1 'darl':2 'dentist':8 'find':14 'gulf':19 'mexico':21 'moos':11 'must':13 'panorama':5 'student':16",True
166,"Color Philadelphia","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",2006,1,6,"2.99",149,"19.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'car':8 'color':1 'crocodil':11 'desert':20 'monkey':16 'must':13 'panorama':5 'philadelphia':2 'sahara':19 'sink':14 'thought':4",True
169,"Comforts Rush","A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft",2006,1,3,"2.99",76,"19.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'abandon':20 'comfort':1 'cow':17 'husband':11 'mad':16 'meet':14 'mine':21 'must':13 'panorama':5 'pioneer':8 'rush':2 'shaft':22 'unbeliev':4",True
170,"Command Darling","A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan",2006,1,5,"4.99",120,"28.99","PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'administr':20 'ancient':22 'awe':5 'awe-inspir':4 'challeng':17 'command':1 'darl':2 'databas':19 'forens':10 'inspir':6 'japan':23 'must':16 'psychologist':11 'tale':7 'woman':14",True
172,"Coneheads Smoochy","A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria",2006,1,7,"4.99",112,"12.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'compos':11 'conehead':1 'husband':16 'must':13 'nigeria':18 'pursu':14 'smoochi':2 'stori':5 'touch':4 'woman':8",True
174,"Confidential Interview","A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan",2006,1,6,"4.99",180,"13.99","NC-17","2013-05-26 14:50:58.951","{Commentaries}","'ancient':18 'astronaut':16 'cat':8 'confidenti':1 'find':14 'interview':2 'japan':19 'must':13 'reflect':5 'stun':4 'woman':11",True
188,"Crazy Home","A Fanciful Panorama of a Boy And a Woman who must Vanquish a Database Administrator in The Outback",2006,1,7,"2.99",136,"24.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'administr':17 'boy':8 'crazi':1 'databas':16 'fanci':4 'home':2 'must':13 'outback':20 'panorama':5 'vanquish':14 'woman':11",True
189,"Creatures Shakespeare","A Emotional Drama of a Womanizer And a Squirrel who must Vanquish a Crocodile in Ancient India",2006,1,3,"0.99",139,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'ancient':18 'creatur':1 'crocodil':16 'drama':5 'emot':4 'india':19 'must':13 'shakespear':2 'squirrel':11 'vanquish':14 'woman':8",True
192,"Crossing Divorce","A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin",2006,1,4,"4.99",50,"19.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'beauti':4 'berlin':18 'cross':1 'divorc':2 'documentari':5 'dog':8 'must':13 'redeem':14 'robot':11 'woman':16",True
194,"Crow Grease","A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station",2006,1,6,"0.99",104,"22.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'administr':19 'awe':5 'awe-inspir':4 'crow':1 'databas':18 'documentari':7 'first':22 'greas':2 'husband':13 'inspir':6 'man':23 'must':15 'sink':16 'space':24 'station':25 'woman':10",True
201,"Cyclone Family","A Lacklusture Drama of a Student And a Monkey who must Sink a Womanizer in A MySQL Convention",2006,1,7,"2.99",176,"18.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'convent':20 'cyclon':1 'drama':5 'famili':2 'lacklustur':4 'monkey':11 'must':13 'mysql':19 'sink':14 'student':8 'woman':16",True
207,"Dangerous Uptown","A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California",2006,1,7,"4.99",121,"26.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'california':19 'danger':1 'dog':17 'mad':8 'must':14 'overcom':15 'scientist':9 'stori':5 'unbeliev':4 'uptown':2 'woman':12",True
220,"Deer Virginian","A Thoughtful Story of a Mad Cow And a Womanizer who must Overcome a Mad Scientist in Soviet Georgia",2006,1,7,"2.99",106,"13.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'cow':9 'deer':1 'georgia':21 'mad':8,17 'must':14 'overcom':15 'scientist':18 'soviet':20 'stori':5 'thought':4 'virginian':2 'woman':12",True
228,"Detective Vision","A Fanciful Documentary of a Pioneer And a Woman who must Redeem a Hunter in Ancient Japan",2006,1,4,"0.99",143,"16.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':18 'detect':1 'documentari':5 'fanci':4 'hunter':16 'japan':19 'must':13 'pioneer':8 'redeem':14 'vision':2 'woman':11",True
236,"Divine Resurrection","A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park",2006,1,4,"2.99",100,"19.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':20 'amus':21 'bore':4 'charact':5 'divin':1 'man':9 'must':14 'park':22 'resurrect':2 'studi':6 'succumb':15 'teacher':17 'woman':12",True
238,"Doctor Grail","A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback",2006,1,4,"2.99",57,"29.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'doctor':1 'drama':5 'forens':16 'grail':2 'insight':4 'must':13 'outback':20 'psychologist':17 'reach':14 'waitress':11 'woman':8",True
242,"Doom Dancing","A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention",2006,1,4,"0.99",68,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'astound':4 'battl':15 'car':8 'convent':21 'danc':2 'doom':1 'lumberjack':17 'mad':11 'must':14 'mysql':20 'panorama':5 'scientist':12",True
243,"Doors President","A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico",2006,1,3,"4.99",49,"22.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'awe':5 'awe-inspir':4 'boy':18 'display':7 'door':1 'gulf':21 'inspir':6 'mexico':23 'must':15 'overcom':16 'presid':2 'squirrel':10 'woman':13",True
245,"Double Wrath","A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico",2006,1,4,"0.99",177,"28.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'challeng':14 'dog':11 'doubl':1 'gulf':19 'madman':16 'mexico':21 'must':13 'thought':4 'woman':8 'wrath':2 'yarn':5",True
246,"Doubtfire Labyrinth","A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert",2006,1,5,"4.99",154,"16.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'butler':8 'compos':11 'cow':17 'desert':21 'doubtfir':1 'intrepid':4 'labyrinth':2 'mad':16 'meet':14 'must':13 'panorama':5 'sahara':20",True
253,"Drifter Commandments","A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat",2006,1,5,"4.99",61,"18.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'boat':20 'command':2 'discov':14 'drifter':1 'epic':4 'husband':16 'jet':19 'must':13 'reflect':5 'squirrel':11 'woman':8",True
257,"Drumline Cyclone","A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies",2006,1,3,"0.99",110,"14.99","G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'canadian':21 'cyclon':2 'drumlin':1 'insight':4 'mad':17 'monkey':8 'must':14 'outrac':15 'panorama':5 'rocki':22 'scientist':18 'sumo':11 'wrestler':12",True
263,"Durham Panky","A Brilliant Panorama of a Girl And a Boy who must Face a Mad Scientist in An Abandoned Mine Shaft",2006,1,6,"4.99",154,"14.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':20 'boy':11 'brilliant':4 'durham':1 'face':14 'girl':8 'mad':16 'mine':21 'must':13 'panki':2 'panorama':5 'scientist':17 'shaft':22",True
268,"Early Home","A Amazing Panorama of a Mad Scientist And a Husband who must Meet a Woman in The Outback",2006,1,6,"4.99",96,"27.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'amaz':4 'earli':1 'home':2 'husband':12 'mad':8 'meet':15 'must':14 'outback':20 'panorama':5 'scientist':9 'woman':17",True
270,"Earth Vision","A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India",2006,1,7,"0.99",85,"29.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'ancient':18 'butler':8 'drama':5 'earth':1 'india':19 'madman':11 'must':13 'outrac':14 'stun':4 'vision':2 'woman':16",True
277,"Elephant Trojan","A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon",2006,1,4,"4.99",126,"24.99","PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'baloon':20 'beauti':4 'eleph':1 'forens':11 'frisbe':17 'lumberjack':8 'must':14 'overcom':15 'panorama':5 'psychologist':12 'trojan':2",True
278,"Elf Murder","A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft",2006,1,4,"4.99",155,"19.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'abandon':21 'action':5 'action-pack':4 'elf':1 'frisbe':10 'girl':18 'mine':22 'murder':2 'must':15 'pack':6 'reach':16 'shaft':23 'stori':7 'woman':13",True
279,"Elizabeth Shane","A Lacklusture Display of a Womanizer And a Dog who must Face a Sumo Wrestler in Ancient Japan",2006,1,7,"4.99",152,"11.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'ancient':19 'display':5 'dog':11 'elizabeth':1 'face':14 'japan':20 'lacklustur':4 'must':13 'shane':2 'sumo':16 'woman':8 'wrestler':17",True
282,"Encounters Curtain","A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans",2006,1,5,"0.99",92,"20.99","NC-17","2013-05-26 14:50:58.951","{Trailers}","'boat':17 'build':15 'chef':9 'curtain':2 'encount':1 'epistl':5 'insight':4 'must':14 'new':19 'orlean':20 'pastri':8 'woman':12",True
284,"Enemy Odds","A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India",2006,1,5,"4.99",77,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers}","'ancient':19 'astronaut':17 'enemi':1 'fanci':4 'india':20 'mad':8 'must':14 'odd':2 'panorama':5 'pursu':15 'scientist':9 'woman':12",True
287,"Entrapment Satisfaction","A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat",2006,1,5,"0.99",176,"19.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':22 'cow':17 'entrap':1 'hunter':8 'mad':16 'must':13 'panorama':5 'reach':14 'satisfact':2 'teacher':11 'thought':4 'u':21 'u-boat':20",True
301,"Family Sweet","A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin",2006,1,4,"0.99",155,"24.99","R","2013-05-26 14:50:58.951","{Trailers}","'berlin':18 'boy':11 'documentari':5 'epic':4 'escap':14 'famili':1 'must':13 'sweet':2 'teacher':8 'woman':16",True
309,"Feud Frogmen","A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies",2006,1,6,"0.99",98,"29.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'administr':9 'brilliant':4 'canadian':21 'chase':16 'cow':13 'databas':8 'feud':1 'frogmen':2 'mad':12 'must':15 'reflect':5 'rocki':22 'woman':18",True
310,"Fever Empire","A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico",2006,1,5,"4.99",158,"20.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'boat':11,16 'cat':8 'defeat':14 'empir':2 'fever':1 'gulf':19 'insight':4 'mexico':21 'must':13 'panorama':5",True
314,"Fight Jawbreaker","A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse",2006,1,3,"0.99",91,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'escap':14 'fight':1 'girl':11,16 'intrepid':4 'jawbreak':2 'manhattan':19 'must':13 'panorama':5 'penthous':20 'woman':8",True
328,"Forever Candidate","A Unbelieveable Panorama of a Technical Writer And a Man who must Pursue a Frisbee in A U-Boat",2006,1,7,"2.99",131,"28.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':22 'candid':2 'forev':1 'frisbe':17 'man':12 'must':14 'panorama':5 'pursu':15 'technic':8 'u':21 'u-boat':20 'unbeliev':4 'writer':9",True
